1	83.8	12.8	3	7	10	1	0
2	92.8	18	2	7	22	0	1
3	82.9	11	2	7	16	0	1
4	85	16	3	7	11	0	1
5	85	11	3	7	9	0	1
6	85	14	3	7	13	0	1
7	85.4	11	3	7	8	0	1
8	63.1	8.1	3	6	3	0	1
9	84.1	13.5	3	7	10	0	1
10	84.1	11.5	3	7	12	0	1
11	77.2	13	3	7	6	1	0
12	92.6	16.9	3	7	18	0	0
13	92.2	16.9	3	7	19	0	0
14	61.7	8.5	2	5	9	0	0
15	88.3	15	3	7	10	0	0
16	88.3	15	3	7	10	0	0
17	40.4	7	2	5	5	0	0
18	81.4	10.8	3	7	9	0	1
19	86.9	17	3	7	9	1	0
20	89.5	15.8	2	7	13	0	0
21	86.5	17	3	7	9	1	0
22	89.9	17.8	2	7	11	0	0
23	76.1	10.5	3	6	5	0	1
24	79.1	9	3	6	12	1	0
25	88.1	17.5	3	7	16	1	0
26	90.8	16.1	3	7	8	0	1
27	91.8	16.9	3	8	13	0	1
28	87.7	15.5	3	7	15	1	0
29	90.7	14	3	7	8	0	1
30	92.1	16.8	3	8	14	0	1
